ID;NOME ORG;Latitude;Longitude
147;02.970.204/0001-80 | O CENTRO DE OBRAS SOCIAIS N. SRA. DAS GRAÇAS DA CAPELA DO SOCORRO - CONOSCO;-23,8610332;-46,7148964
148;02.999.737/0001-95 | CLUBE DE MAES ROSAS DE VILA NOVA CACHOEIRINHA;-23,5448955;-46,6387905
149;03.000.341/0001-55 | IGREJA BATISTA JARDIM SANTA FE;-23,4305262;-46,7934293
150;03.002.407/0001-46 | INSTITUTO IVES OTA;-23,5421387;-46,5412123
151;03.006.907/0001-56 | CENTRO CULTURAL AFRICANO;-23,5228035;-46,652983
152;03.029.595/0001-04 | IGREJA APOSTOLICA DA CONQUISTA;-23,6855395;-46,7087615
153;03.069.227/0001-81 | INSTITUTO DE AÇÃO SOCIAL CERENER;-23,6861653;-46,7389716
154;03.090.413/0001-00 | IGREJA EVANGÉLICA RAMÁ;-23,5784309;-46,5150789
155;03.120.132/0001-45 | ONG BENEFICENTE SANTA MARIA GORETT;-23,6823062;-46,7431132
156;03.132.856/0001-09 | ASSOCIAÇÃO MÃE JUJU;-23,5431776;-46,710802
157;03.165.760/0001-47 | COOPERATIVA BRASILEIRA DE TRANSPORTE COBRATE;-23,5346429;-46,6048936
158;03.166.773/0001-30 | IINSTITUTO SOCIAL E EDUCACIONAL NUNES;-23,6275302;-46,4415046
159;03.205.769/0001-34 | INSTITUTO CRIANÇA CIDADÃ;-23,5246236;-46,4703195
160;03.205.769/0010-25 | INSTITUTO CRIANÇA CIDADÃ;-23,5445859;-46,4527207
161;03.212.679/0001-70 | ASSOCIAÇÃO COMUNITÁRIA JARDIM IDEAL;-23,758167;-46,6698218
162;03.234.998/0001-87 | ASSOCIACAO SOS VIDA;-23,5308368;-46,6549385
163;03.262.736/0001-26 | IGREJA UNIDA JARDIM ÂNGELA;-23,6054833;-46,5146392
164;03.283.246/0001-06 | ASSOCIAÇAO DE PARTICIPAÇÃO E APOIO AO DESENVOLVIMENTO COMUNITARIO APADEC;-23,6574707;-46,7890902
165;03.298.645/0001-40 | IGREJA EVANGÉLICA NA VILA SÃO FRANCISCO;-23,4899887;-46,4493987
166;03.306.687/0001-86 | IGREJA BIBLICA PODER E GRACA;-23,4897757;-46,4264189
167;03.308.506/0001-50 | ASSOCIAÇÃO DA PARADA DO ORGULHO LGBT DE SÃO PAULO;-23,5442223;-46,6412745
168;03.316.979/0001-08 | ASSOCIAÇÃO DOS MORADORES DO JARIM REDIL E ADJACENCIAS - BLOCO DE RUA VIVA PAZ;-23,5409095;-46,4408814
169;03.322.438/0001-84 | IGREJA EVANGELICA ASSEMBLEIA DE DEUS FAMILIA PARA CRISTO VISAO DA PLENITUDE;-23,7770441;-46,6977008
170;03.324.868/0001-35 | ASSOCIAÇÃO COMUNITÁRIA CASA DOS DEFICIENTES DE SÃO MIGUEL PAULISTA;-23,5022433;-46,4211213
171;03.325.973/0001-99 | ASSOCIAÇÃO COMUNITÁRIA HAABI;-23,5490213;-46,418744
172;03.331.118/0001-90 | ASSOCIACAO BENEFICENTE FLOR DE MAIA;-23,4843198;-46,4144277
173;03.339.425/0001-18 | GRÊMIO RECREATIVO ESPORTE E MORADIA;-23,6023202;-46,5024872
174;03.343.638/0001-13 | CENTRO DE CONVIVENCIA GENESES;-23,4426721;-46,7390479
175;03.360.720/0001-56 | IGREJA PRESBITERIANA EM CIDADE DUTRA;-23,7159086;-46,7014954
176;03.399.793/0001-51 | PROJETO FE CHURCH - COMUNIDADE APOSTOLICA;-23,4614084;-46,6954658
177;03.405.965/0001-52 | ASSOCIAÇÃO UNIÃO DE AMIGOS DO MORRO DA ESPERANÇA - SUAME;-23,480816;-46,6678558
178;03.418.844/0001-45 | PRIMEIRA IGREJA UNIDA DA LAPA;-23,5145818;-46,7040313
179;03.432.723/0001-58 | ADESP - ASSOCIAÇÃO DE DESENVOLVIMENTO DO ESTADO DE SÃO PAULO;-23,5419314;-46,4838526
180;03.491.965/0001-12 | AOSSIAÇÃO DOS MORADORES DO JARDIM VIRGINIA ITAJUIBE;-23,4998996;-46,3912149
181;03.506.372/0001-82 | ASSOCIAÇÃO VIDA, CAMINHO E LUZ;-23,4740219;-46,6544896
182;03.507.542/0001-43 | ADSOCIAÇÃO MONTE SINAI DE UNIÃO DE VILA NOVA;-23,4837793;-46,4586348
183;03.513.483/0001-16 | ASSOCIAÇÃO BENEFICENTE CRIANÇA FELIZ NO RANCHO;-23,5153802;-46,4064897
184;03.524.587/0001-26 | GRUPO BRASIL DE APOIO AO SURDOCEGO E AO MÚLTIPLO DEFICIENTE SENSORIAL;-23,5858932;-46,6332218
185;03.526.323/0001-01 | INSTITUTO EDUCACIONAL ANGELS;-23,5312318;-46,6157387
186;03.542.664/0001-70 | ASSOCIAÇÃO AMIGOS E TERCEIRA IDADE ESPERANÇA DO JARDIM MONTE AZUL;-23,6478054;-46,7384797
187;03.550.345/0001-07 | INSTITUTO BRASILEIRO MARIA ROSA;-23,742495;-46,686488
188;03.595.940/0001-69 | IGREJA APOSTÓLICA NOVA VIDA TRANSFORMADA EM CRISTO;-23,4753164;-46,5711618
189;03.601.723/0002-15 | CENTRO DE EDUCACAO INFANTIL CHAQUIBE FANDI KALIL;-23,4735602;-46,7143064
190;03.601.723/0003-04 | INSTITUTO CLARET - SOLIDARIEDADE E DESENVOLVIMENTO HUMANO;-23,4736078;-46,7142546
191;03.601.723/0006-49 | CCA PAULO VI;-23,5416716;-46,6552717
192;03.601.723/0008-00 | INSTITUTO CLARET - SOLIDARIEDADE E DESENVOLVIMENTO HUMANO SPVV CLARET 01 PERUS;-23,4014967;-46,7505129
193;03.601.723/0009-91 | SASF CLARET PERUS;-23,4125236;-46,7544046
194;03.602.649/0001-70 | ASSOBHADESP ASSOCIACAO BENEFICENTE PAULISTA;-23,4462876;-46,6983076
195;03.607.564/0001-85 | ASSOCIAÇÃO BENEFICENTE E CULTURAL DEUS É FIEL;-23,5579364;-46,3938241
196;03.619.940/0001-51 | ADHS- LIFE ASSOCIAÇÃO DE DESENVOLVIMENTO HUMANO SOCIAL Á VIDA;-23,4907298;-46,7461243
197;03.645.949/0001-37 | CENTRO DE PROMOÇÃO E INCLUSÃO SOCIAL 26 DE JULHO;-23,617753;-46,485207
198;03.662.169/0001-03 | ASSOCIAÇÃO DE MAES DO JARDIM 5 DE JULHO;-23,5906652;-46,4810662
199;03.680.385/0001-73 | ASSOCIACAO BENEFICENTE EL-SHADAY EM JARDIM FANGANIELLO;-23,5464843;-46,3916445
200;03.680.385/0002-54 | ASSOCIACAO ELSHADAY DE BARRO BRANCO II;-23,5874748;-46,3907504
201;03.680.385/0003-35 | ASSOCIACAO BENEFICENTE EL-SHADAY EM JARDIM FANGANIELLO;-23,557327;-46,4603668
202;03.693.145/0001-03 | MOVIMENTO ECO CULTURAL;-23,5135722;-46,7073442
203;03.695.794/0001-43 | UNIAO DOS MOVIMENTOS DE MORADIA INDEPENDENTES DA ZONA SUL DE SAO PAULO;-23,6614165;-46,7787645
204;03.696.389/0001-40 | IGREJA EVANGELICA ASSEMBLEIA DE DEUS LIRIOS DO VALE;-23,4800126;-46,6292356
205;03.712.451/0001-40 | IGREJA EVANGÉLICA RESSURREIÇÃO EM CRISTO;-23,7576573;-46,715301
206;03.717.747/0001-53 | IGREJA EVANGELICA SOL DA JUSTIÇA;-23,4823772;-46,4158175
207;03.727.050/0001-63 | ASSOCIACAO BENEFICENTE DOS MORADORES DO SETOR FERROVIARIOS;-23,5994343;-46,3928833
208;03.753.876/0001-05 | ASSOCIACAO GIBI COMPETITION SPORTS;-23,5521413;-46,646136
209;03.781.090/0001-93 | GREMIO RECREATIVO E CULTURAL ESCOLA DE SAMBA DRAGÕES DA REAL;-23,5142964;-46,7238112
210;03.783.381/0001-10 | ASSOCIAÇÃO PROBRASIL;-23,8080665;-46,7387463
211;03.784.903/0001-07 | IGREJA EVANGELICA ASSEMBLEIA DE DEUS;-23,7654715;-46,7097093
212;03.792.468/0001-54 | ASSOCIAÇÃO DEFENSORA DOS DIREIROS DOS DEFICIENTES FÍSICOS E DA MULHER;-23,6028321;-46,4016974
